"beer_id","date","rating","text","user_location","user_name"
816,"2017-05-28",3.7,"Very nice amber color. Strong presence of vanila in the aroma. Bitter - sweet. But with strange metal aftertaste. The price is very important when you evaluate this beer, value for money is great.","Warsaw, POLAND","czlowiekmotyka"
816,"2017-05-28",3.9,"Butelka nr 201/366. Ciemny bursztyn z delikatnymi rubinowymi refleksami. Praktycznie bez piany. Dosyć intensywny aromat waniliowy, migdałowy. Przebija się też karmel. W smaku słodko ale nie wyklejająco. Gęsto, gładko i treściwie. Dominuje karmekowa słodycz.","POLAND","LiwkoLiwko"
816,"2017-04-26",4.3,"UPDATED: APR 26, 2017 Aromat: amaretto, migdal, lekko whisky, lekko kokos, lekko alkohol Wyglad: bursztynowe piana nawet cienka warstwa sie trzyma do konca. Smak: slodkawe, goryczka niska bardziej alkoholowa. Odczucie w ustach: pelne, wysycenie niskie. Ogolnie: bardzo fajne piwo bardziej mu do barley wine niz lagera. Bardzo fajnie czuc beczke, ktora zrobila robote.","Gdynia, POLAND","Marian1990"
816,"2017-04-20",3.7,"Sampel na Warszawskim Festiwalu Piwa. Fajny aromat migdałów i wanilii. Niestety trochę alko. Smak dosyć głęboki, przypomina aromat a alko piecze.","Lodz, POLAND","Mesjasz"
816,"2017-04-12",3.4,"WFP Backlog. Almonds, caramel, oak, vanilla, toast, bread. Medium sweet, light bitter.","POLAND","sokuzs1"
816,"2017-04-09",4.0,"A tutaj jedno z największych zaskoczeń festiwalu - w aromacie bardziej jak jakiś wheat wine - zboże, mega wyczuwalna beczka w taki waniliowo-migdałowy sposób, wychodzi też alkohol, ale zupełnie nie przeszkadza. W smaku wanilia, kandyzowane owoce.","Warsaw, POLAND","Kapsel"
816,"2017-04-07",3.1,"Z: marcepan, kokos, alkohol, ostra whiskyS: dosy? pelne, dalej intensywny alkohol wchodz?cy bardziej w spirytus ni? w whisky, zbozowe, finisz nalewka z suszonych owoców.","Warsaw, POLAND","Drago7"
816,"2017-04-07",3.3,"Keg at the Warsaw beer fest 2017. 07/04/2017. A clear deep. Amber orange coloured pour with a loose off white head. Aroma is boozy, raisin, woody Bourbon, cakey malts. Flavour is composed of sweet malts, cakey, rum and raisin, cakey malts, hot alcohol. Palate is medium full and sticky, Warming alcohol.. Interesting beer fun to try.","Hertfordshire, ENGLAND","mR_fr0g"
816,"2017-04-07",3.6,"Keg at the Warsaw craft beer eat. Pours clear amber with a creamy, khaki head. The nose holds bread, honey, butterscotch. Medium to big sweet flavour with oily alcohols, more butterscotch, caramel. Full bodied, chewy, with fine carbonation. Warming finish, oily, with nips of vanilla, more bread, berries. Fun.","London, Greater London, ENGLAND","Leighton"
816,"2017-04-07",3.0,"Draught at Warsaw Beer Festival. Almost clear deep amber liquid with small to medium white head. Aroma of whisky, wood, raw sugar, bread and sweet alcohol. Taste is light sweet and light bitter with notes of whisky, wood and grain. Medium bodied with medium carbonation. Ugh, just very boosty.","Stockholm, SWEDEN","VsXsV"
816,"2017-04-07",4.0,"Rami Rami is drinking an Achtung Panzer by Beer Bros at Warszawski Festiwal Piwa

Najwieksze pozytywne zaskoczenie 1szego dnia. Bardzo intensywna waniliowo-migdalowa, slodka, taka a la the Bruery beczka. Zboze. Cialo OK+, goryczka niemala. Klasa piwo.","Warszawa, POLAND","rami_pl"
816,"2017-04-06",4.0,"Kran WFP 17: bursztynowe, opalizujące. ładny aromat suszu i kandyzowanych owoców, do tego przyjemna delikatna wanilia, beczka, zboża... W smaku półsłodkie, barlejłajnowe klimaty, migdały, kandyzowane owoce, wanilia, chleb... Nisko wysycone, ładnie ułożone.","Kalisz, POLAND","alteregoo"
