"beer_id","date","rating","text","user_location","user_name"
3971,"2017-05-14",4.0,"Bomber - it pours a heavy midnight brown with a thick brown fluffy head. An amazing layered aroma of roasted barley, piney bitter hops, sweet maple and bourbon barrel notes. All the flavor components are here in full expression- bitter hop notes, roasted grain, coffee, maple, woody bourbon and a hint of cocoa. Fabulous!","Bayfield, Colorado, USA","CObiased"
3971,"2017-01-08",3.6,"Bottle from a trade. Many thanks! Dark brown colour. Medium carbonation. Sweet nose of caramel, toffee, pine, citrus, tropical fruit, maple syrup, bourbon. Taste is sweet and bitter. I dont like Black IPAs but this is not a bad one.","Oosterzele, BELGIUM","JefVerstraete"
3971,"2016-12-31",3.5,"Bottle sample- pours a very dark chocolate colour with slight beige head. Nose- piney, chocolate, bourbon. Taste- initially get that black ipa character but hops quite muted. then comes sweet vanilla, toasted oak, faint star anise. Moderate body with boozy finish. very complex and not too sweet given the maple syrup barrel aging treatment. I likely would enjoy this more fresh to get the interplay of the hops and the barrel but still tasty with some age on it.","Winnipeg, Manitoba, CANADA","oakbluff"
3971,"2016-12-31",3.9,"Draft. Dark mahogany beer with a dark cream head. Pine and grapefruit aroma with light bourbon. Bourbon and grapefruit flavor with light pine. Medium bodied. Bourbon and grapefruit lingers with light toffee and light pine.","Alamo, California, USA","bb"
3971,"2016-12-18",4.3,"Bottle from Whole Foods NYC. Burbon really catches the nose. Vanilla, brown sugar, black strap molasses and spices. This is one of the better beers Ive had all year. Really nice and complex.","seattle, Washington, USA","cobaink2"
3971,"2016-11-25",4.0,"Bottle. Heavy toasted and molasses for the malt, moderate pine resin for the hops, light earth for the yeast, with maple syrup, cola and vanilla in the background. Head is small, frothy, light beige, with slippery lacing and is mostly diminishing. Color is clear yet very dark brown. Flavor starts moderately to heavily sweet and lightly acidic, then finishes moderately sweet and lightly acidic and bitter. Palate is medium to full, oily, with a soft to lively carbonation and a lightly alcoholic finish. A great Black IPA that is rich, smooth and well rounded.","hobe sound, Florida, USA","glennmastrange"
3971,"2016-09-24",4.0,"750 mL bottle from Beer Run, 4/23/16. Dark brown, thin foamy tan head, good retention. Aroma of roast, chocolate, maple, mild resiny hops. The taste is herbal and piney hops, chocolate, maple. Medium bodied, low carbonation, mild booze. Not really a Black IPA but it is solid. Nice beer.","Milwaukee, Wisconsin, USA","Drake"
3971,"2016-09-06",3.8,"Bottle into a snifter showing dark coffee with translucent coffee brown rims and half a finger of latte foam. 

The nose shows a lot of roasted malts balanced and brightened with a lot of vanilla bringing it close to a nicely creamed latte.

The palate is well carbonated and full bodied. Latte-like forward flavors with notes of maple syrup, vanilla, and a slight mint-like spiciness and a light hoppy bitterness on the finish. For such a big brewery with such wide distribution and great acclaim, Founders still makes a lot of solid beers.","Washington DC, USA","jc1762"
3971,"2016-08-26",4.0,"Pours a very dark opaque brown with a thin off white head that rings the glass. Aroma is vanilla and dried dark fruit. Taste is dark roasted malt, butterscotch, licorice and sweet chewing tobacco. Very busy and very good.","OFallon, Illinois, USA","wxman"
3971,"2016-08-23",3.9,"Bottle. Pours dark brown/black with a thick tan head that left good lacing. Aroma of bourbon, maple, chocolate, vanilla and pine. Flavor was lightly sweet with maple syrup, bourbon, oak, chocolate, pine and vanilla. Creamy smooth texture, medium plus body, average carbonation. an awesome black ipa","Croydon, Pennsylvania, USA","Beerdedone"
