"beer_id","date","rating","text","user_location","user_name"
3189,"2016-02-14",4.6,"Aroma is one of beers most complex features. Aroma is propelled by lively CO2 and dampened by pillowy heads - especially nitrogen foam.","","StudHammer"
3189,"2015-09-01",3.2,"Draught @ Underbelly, San Diego. Aroma is sweet with buttery malt and fruity hops. Flavour has grassy hops, fruits, some herbal bitterness and mild fruits. Rather fruity for a pale lager.","Tampere, FINLAND","laiti"
3189,"2015-09-01",3.2,"Draught @ Underbelly, San Diego, CA 

Pours yellowish orange with a smooth head. Aroma of grass, citrus, hay, malts and lemon. Taste is smooth, slightly grainy and citrusy with some lemon and hay. Finish is smooth, sweetish and earthy with some corn, lemon and hay. A bit untypical.","Espoo, FINLAND","tiong"
3189,"2015-08-27",3.6,"Clean, malty lager. Light earth an fruit notes but mostly grain. Refreshing with a nice light bite. Good lager.","Kitsap, Washington, USA","Capa"
3189,"2014-11-21",3.4,"On tap Oro non molta schiuma lieve nota maltata mielosa anche in bocca luppolatura media secchezza media lieve cereale","ITALY","daniele"
3189,"2014-11-13",3.7,"Draft. Used to like this one before I got very into beer and havent had it in ages, turns out its still very good! Pours light gold. Sweet malt aroma with some bubblegum and cereal. Taste is on the sweet side too but nicely complex with some drying hop bitterness. Solid.","Valley Village, California, USA","Ontape"
3189,"2014-03-20",3.7,"From a flight at Tratoria Neapolis in Pasadena CA. Pours a clear gold with an off white head. Light malty nose. Flavors of biscuit, butterscotch and bubblegum. One of the most complex pale lagers I have had.","Jackson Hole/McLean, Virginia, USA","Iphonephan"
3189,"2014-01-25",3.6,"On tap at Trappist Provisions. Believe it or not, Ive been tracking this one down for a while now. I can see why its rated so highly as a pale lager. It kind of changes your mind on what this style can actually be. It pours a clear golden color with a nice white head. The aroma is rather spicy and floral with a light maltiness that has some corn and apple, but not over the top. The flavor is full bodied with prominent spicy and floral hops, more corn and light malts. Very creamy mouthfeel. Excellent stuff.","Livermore, California, USA","joeneugs"
3189,"2013-12-17",3.7,"On tap at Public School 612 in downtown LA Dec. 11th. Pours golden with moderate head. Good lacing throughout. Quality senses from nose to finish. Very easy to drink, and flavorful. Nice beer!","Poplar Bluff, Missouri, USA","OzarkElmo"
3189,"2013-12-15",2.7,"15 dec 2013, tap. Light yellow, clear, some steady bubbles. Nose is sweet corn malt. Thin body and moderately fizzy. Sweet corn malt and slightly bitter grassy hop finish. 

---Rated via Beer Buddy for iPhone","California, USA","Blairgus"
3189,"2013-06-28",3.5,"Overall very good lager, smooth with hints of hops and goodness. On tap at Fathers Office in Santa monica","Santa Monica, California, USA","DedicatedToFun"
3189,"2013-06-06",3.4,"Tap at Lucky Baldwins. Clear golden. Excellent white webby lacing. Nose is moderate lemon and sweet orange. Taste is hoppy, some sugar, decent creamed corn DMS intentional character giving some body density balanced by hefty grassy hops verging on Czech or German minerality. Very good for what it is, successful.","San Diego, California, USA","GT"
3189,"2013-05-22",4.0,"Craftsman lager is a fantastic beer with a crisp taste and a fantastic finish. If you enjoy this beer, try out the craftsman poppy fields. Another great beer","Ontario, CANADA","lkonarek"
3189,"2013-04-30",3.1,"Draft @ Neighborhood, San Diego, CA. Pours a hazy yellow color with a white head. Has a fruity malty grainy aroma with hints of corn. Fruity malty grainy flavor with weak grassy hoppy hints. Has a fruity malty grainy corn finish.","Malmö, SWEDEN","anders37"
