,id,brewery_id,beer_style_id,brewery_type_id,post_code,loc_id,name,description,abv,calories,ibu,num_ratings,overall_rating,beer_style_rating,mean_rating,beer_style_name,beer_style_norm,brewery_name,brewery_type,city,state,zip_code,country,lat,long,style_score,review_sim,style_sim,weighted_rating,final_score
1066,2283,"12,209",26,5,"36,338",13143,Southampton Abbot 12,"Southampton Abbot 12 is our version of a Belgian Abbey-style Dark Ale. This unique style of ale is referred to as ""Quadruple"" and is brewed by only a few Belgian Trappist breweries. Southampton Abbot 12 is made with imported ingredients and is formulated to allow the beer to age for several years in the bottle.",10.0,300.0,38.0612244898,490,99,95,,Abt/Quadrupel,Strong Ale,Southampton Publick House,Brew Pub/Brewery,Southampton,NY,11968.0,USA,40.904348,-72.40714,7,38.67389916,4.34407248171,19.6182840325,62.6362556742
863,1834,"5,142",53,6,"13,093",22816,Flossmoor Station Killer Kowalski Baltic Porter,"Our deep, dark, full-bodied lager. A slightly bittersweet chocolate aroma with a malty body that hints at dark fruits. It's complex and very enjoyable with a touch of roast finish. This may be the best beer we make all year long.  The bottled version is called Killer Kapowski.",8.0,240.0,42.3076923077,220,98,94,,Baltic Porter,Porter,Flossmoor Station Restaurant & Brewery,Brew Pub,Flossmoor,IL,60422.0,USA,41.539384,-87.68424,9,36.84583424,4.62817870498,19.6929252429,61.1669381879
1063,2279,"10,391",26,4,"34,651",17796,Lost Abbey Judgment Day,"A massive beer in every sense of the word. A stronger and more contemplative version of our Lost and Found Ale. Judgment Day is the base beer for our Cuvee de Tomme. Many of the Trappist Breweries produce a version of beer which ages incredibly well for many years to come. And, since none of us knows when the end of the world is coming, we suggest you stock up with lots of Lost Abbey beers so that when the end of the world magically appears from no where, you'll have a beer or two on hand for even the stingiest of angels. Available in 750ml bottles and on draft at select inspired locations. Editor's note.  This is a new incarnation of Mother of All Beers, previously brewed at Pizza Port Solana Beach.",10.5,315.0,38.0612244898,1142,99,96,,Abt/Quadrupel,Strong Ale,Port Brewing Company / The Lost Abbey,Microbrewery,San Marcos,CA,92069.0,USA,33.144908,-117.17128,7,36.14533184,3.51181324964,19.6957751081,59.3529201977
1022,2286,"7,021",26,6,"42,300",25149,Iron Hill Oak Aged Quad,This is the Iron Hill Quad aged in oak wine barrels.,10.5,315.0,38.0612244898,120,99,97,,Abt/Quadrupel,Strong Ale,Iron Hill Wilmington,Brew Pub,Wilmington,DE,19801.0,USA,39.738563,-75.54833,7,35.98932504,3.63746918373,19.4856537746,59.1124479983
1068,2289,"11,957",26,3,"7,067",17127,Sierra Nevada Ovila Quad - Plums,"Ovila Abbey Quad with plums is heady with aromas of caramel, rich malt, and dark fruit-balanced by the spiciness and delicate fruity notes of a traditional Belgian yeast. This beer features sugar plums grown on the grounds of the Abbey, and harvested by the monks in Vina. We hope you enjoy this collaboration ale.",10.2,306.0,38.0612244898,409,99,95,,Abt/Quadrupel,Strong Ale,Sierra Nevada Brewing Company,Commercial Brewery,Chico,CA,95928.0,USA,39.720955,-121.81888,7,34.81530188,3.98623434044,19.5997913226,58.401327543
1731,3963,"12,507",81,3,"12,182",17514,Stone Sublimely Self Righteous Black IPA,"We're brewers whose substantial mettle and idiomatic approach to brewing allows us to consistently create works of art such as this justifiably self righteous ale. Its bitterness hits our sweet spot. Its blackness lightens our hearts. Its liquid dichotomy pulls it all together in this sublimely sacrosanct ale. Yes, we damn well know our stuff here at Stone, and it would be irresponsible of us not to acknowledge how remarkable this heavenly creation of ours is. Thus the name we are compelled to give it ... Stone Sublimely Self Righteous Ale ... serves as a reminder of just how good we are, in both liquid and verbal form.
We re certainly not perfect. Too often, we allow our modesty to get the best of us as we re simply not inclined towards senseless braggadocio. When youre good, youre good. And when you do something great, the least you can do is acknowledge it. Others benefit from knowing. In this case, we find that we are compelled to point out how amazing this beer is that we rightly call the Stone Sublimely Self Righteous Ale. 
 
First brewed in 2007 as Stone 11th Anniversary Ale, this beer was an instant hit. With us. Other folks with great taste loved it too, but we were focused on how much we liked it, and we felt it was truly sublime. That euphoria didnt last long though, as it was soon replaced with the grim reality that when we sold out of it there wouldnt be any more. For Us. And that was simply unacceptable. So, we are now blessing ourselves, and you the enlightened, with this beer on a full time basis.. Thusly, you may now revel in your own self righteousness as you see fit with this glorious example of ours. You are genuinely welcome, as it is our pleasure.",8.7,261.0,90.0,2253,100,100,,Black IPA,IPA,Stone Brewing,Commercial Brewery,Escondido,CA,92029.0,USA,33.087868,-117.11558,6,0.0,37.3398067064,19.9700350092,57.3098417156
578,1196,"12,915",30,4,"37,392",26725,Alchemist The Crusher,"An American Double IPA, and the name pretty much sums it up. 

On tap at Brewpub in 2009 @ 8% ABV
Released in Cans in March, 2014 @ 9.6% ABV

All Crusher reviews to be added here, not a new entry.",9.0,270.0,84.1875,213,100,99,,Imperial IPA,IPA,The Alchemist,Microbrewery,Stowe,VT,5672.0,USA,44.475387,-72.70225,6,0.0,36.179438857,19.8741923799,56.0536312369
572,1189,"13,418",30,4,"4,092",17848,Trillium Upper Case,"UPPER CASE has a delicate, dry pilsner malt character with a smooth, soft, doughy mouthfeel from the raw wheat, oily hop resin which all serves as a canvas for this twice dry hopped 9% double IPA. Overipe mango, pineapple and passion fruit aromas leap out as the beer is poured. The impression of tropical fruit also takes the lead in the flavor which is layered further by white wine, pine resin and grapefruit zest. Hopped primarily with Mosaic with supporting roles played by Galaxy, Citra and Columbus. We figured there will be considerable interest, so brewed 3 batches! MALT: Pilsner, Flaked Wheat, C-15, Dextrine, Dextrose HOPS: Mosaic, Galaxy, Citra, Columbus 

The first batch of UPPER CASE will be available on March 21st at 10am. Limit four 25.4/750ml bottles, up to 64oz in growler fills per person. Batch #2, 20 bbls available draught and bottle 10/3/15.",9.0,270.0,84.1875,94,100,100,,Imperial IPA,IPA,Trillium Brewing Company,Microbrewery,Boston,MA,2210.0,USA,42.347974,-71.04463,6,0.0,35.9469132207,19.8453352846,55.7922485054
154,299,202,30,4,688,2202,Alpine Beer Company Keene Idea,"Toronado Pub in San Francisco is celebrating their 25th Anniversary this weekend and we brewed a special beer just for the blessed event. The pub with the notoriously rude bartenders set the bar for craft forward beer bars for two and a half decades, and they like us. So, to show we love them too, we brewed what could be considered ??Double Nelson?? and it's called ??Toronado 25th Anniversary Ale.?? The beer came in at 8.88% abv and is clear, clean and shockingly floral. The Nelson Sauvin hops shine and the alcohol is so unnoticeable that it too could be considered dangerously delicious.",8.88,266.0,84.1875,54,100,100,,Imperial IPA,IPA,Alpine Beer Company (CA),Microbrewery,Alpine,CA,91901.0,USA,32.823102,-116.73864,6,0.0,35.8367717963,19.8324142986,55.6691860949
1733,3969,"6,469",81,4,"15,509",16829,Hill Farmstead Society & Solitude #2,"The second in our series of experimental Imperial IPAs ?? Release #2 is essentially an Imperial version of James, our Black IPA.  Brewed with buckets full (literally) of Simcoe and Columbus hops, in the kettle and, as dry hops, in the fermenter.  This Imperial Black IPA heavily, heavily hopped?? ABV may vary.  Prior versions @ 8%",9.2,276.0,84.1875,107,100,100,,Black IPA,IPA,Hill Farmstead Brewery,Microbrewery,Greensboro Bend,VT,5842.0,USA,44.574196,-72.24333,6,0.0,35.6688361145,19.8491160957,55.5179522101
